Keyword,Track.Name,Artist.Name,Genre,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity,Type
air,Señorita,Shawn Mendes,canadian pop,117,55,76,-6,8,75,191,4,3,79,
air,Cross Me feat. Chance the Rapper & PnB Rock,Ed Sheeran,pop,95,79,75,-6,7,61,206,21,12,82,
airplane,Soltera - Remix,Lunay,latin,92,78,80,-4,44,80,266,36,4,91,
al,Lalala,Y2K,canadian hip hop,130,39,84,-8,14,50,161,18,8,88,filler
al,Lalala,Y2K,canadian hip hop,130,39,84,-8,14,50,161,18,8,88,filler
alcohol,China,Anuel AA,reggaeton flow,105,81,79,-4,8,61,302,8,9,92,
alcohol,Callaita,Bad Bunny,reggaeton,176,62,61,-5,24,24,251,60,31,93,
alcohol,Callaita,Bad Bunny,reggaeton,176,62,61,-5,24,24,251,60,31,93,
alcohol,Callaita,Bad Bunny,reggaeton,176,62,61,-5,24,24,251,60,31,93,
alcohol,Callaita,Bad Bunny,reggaeton,176,62,61,-5,24,24,251,60,31,93,
all,Beautiful People feat. Khalid,Ed Sheeran,pop,93,65,64,-8,8,55,198,12,19,86,stop
All,Señorita,Shawn Mendes,canadian pop,117,55,76,-6,8,75,191,4,3,79,stop
all,Beautiful People feat. Khalid,Ed Sheeran,pop,93,65,64,-8,8,55,198,12,19,86,stop
all,Beautiful People feat. Khalid,Ed Sheeran,pop,93,65,64,-8,8,55,198,12,19,86,stop
all,Goodbyes Feat. Young Thug,Post Malone,dfw rap,150,65,58,-4,11,18,175,45,7,94,stop
all,Goodbyes Feat. Young Thug,Post Malone,dfw rap,150,65,58,-4,11,18,175,45,7,94,stop
All,I Don't Care with Justin Bieber,Ed Sheeran,pop,102,68,80,-5,9,84,220,9,4,84,stop
All,I Don't Care with Justin Bieber,Ed Sheeran,pop,102,68,80,-5,9,84,220,9,4,84,stop
All,I Don't Care with Justin Bieber,Ed Sheeran,pop,102,68,80,-5,9,84,220,9,4,84,stop
all,I Don't Care with Justin Bieber,Ed Sheeran,pop,102,68,80,-5,9,84,220,9,4,84,stop
all,I Don't Care with Justin Bieber,Ed Sheeran,pop,102,68,80,-5,9,84,220,9,4,84,stop
all,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
all,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
All,How Do You Sleep?,Sam Smith,pop,111,68,48,-5,8,35,202,15,9,90,stop
All,How Do You Sleep?,Sam Smith,pop,111,68,48,-5,8,35,202,15,9,90,stop
All,How Do You Sleep?,Sam Smith,pop,111,68,48,-5,8,35,202,15,9,90,stop
All,How Do You Sleep?,Sam Smith,pop,111,68,48,-5,8,35,202,15,9,90,stop
All,How Do You Sleep?,Sam Smith,pop,111,68,48,-5,8,35,202,15,9,90,stop
All,How Do You Sleep?,Sam Smith,pop,111,68,48,-5,8,35,202,15,9,90,stop
all,How Do You Sleep?,Sam Smith,pop,111,68,48,-5,8,35,202,15,9,90,stop
all,How Do You Sleep?,Sam Smith,pop,111,68,48,-5,8,35,202,15,9,90,stop
all,How Do You Sleep?,Sam Smith,pop,111,68,48,-5,8,35,202,15,9,90,stop
all,How Do You Sleep?,Sam Smith,pop,111,68,48,-5,8,35,202,15,9,90,stop
all,How Do You Sleep?,Sam Smith,pop,111,68,48,-5,8,35,202,15,9,90,stop
all,How Do You Sleep?,Sam Smith,pop,111,68,48,-5,8,35,202,15,9,90,stop
all,Old Town Road - Remix,Lil Nas X,country rap,136,62,88,-6,11,64,157,5,10,87,stop
all,bad guy,Billie Eilish,electropop,135,43,70,-11,10,56,194,33,38,95,stop
all,Callaita,Bad Bunny,reggaeton,176,62,61,-5,24,24,251,60,31,93,stop
all,Someone You Loved,Lewis Capaldi,pop,110,41,50,-6,11,45,182,75,3,88,stop
all,Someone You Loved,Lewis Capaldi,pop,110,41,50,-6,11,45,182,75,3,88,stop
all,Someone You Loved,Lewis Capaldi,pop,110,41,50,-6,11,45,182,75,3,88,stop
all,Someone You Loved,Lewis Capaldi,pop,110,41,50,-6,11,45,182,75,3,88,stop
all,Someone You Loved,Lewis Capaldi,pop,110,41,50,-6,11,45,182,75,3,88,stop
all,Someone You Loved,Lewis Capaldi,pop,110,41,50,-6,11,45,182,75,3,88,stop
all,Someone You Loved,Lewis Capaldi,pop,110,41,50,-6,11,45,182,75,3,88,stop
all,Money In The Grave Drake ft. Rick Ross,Drake,canadian hip hop,101,50,83,-4,12,10,205,10,5,92,stop
All,No Guidance feat. Drake,Chris Brown,dance pop,93,45,70,-7,16,14,261,12,15,82,stop
All,No Guidance feat. Drake,Chris Brown,dance pop,93,45,70,-7,16,14,261,12,15,82,stop
all,No Guidance feat. Drake,Chris Brown,dance pop,93,45,70,-7,16,14,261,12,15,82,stop
all,No Guidance feat. Drake,Chris Brown,dance pop,93,45,70,-7,16,14,261,12,15,82,stop
all,LA CANCIÓN,J Balvin,latin,176,65,75,-6,11,43,243,15,32,90,stop
all,LA CANCIÓN,J Balvin,latin,176,65,75,-6,11,43,243,15,32,90,stop
